,Date,DateLabel,Delay_Types,Sums_in_mins,Delayed_Flights,Total_Flights,DelayAve_in_mins,delayAve_by_Year,delayAve_delta
1,1/01/2007,Jan-07,carrier,2200212,150144,621559,14.65401215,15.91593574,0
2,1/02/2007,Feb-07,carrier,2618501,158435,565604,16.52728879,15.91593574,0
3,1/03/2007,Mar-07,carrier,2548581,152689,639209,16.69132027,15.91593574,0
4,1/04/2007,Apr-07,carrier,2078632,136991,614648,15.17349315,15.91593574,0
5,1/05/2007,May-07,carrier,1919316,131298,631609,14.61801398,15.91593574,0
6,1/06/2007,Jun-07,carrier,2992281,181502,629280,16.48621503,15.91593574,0
7,1/07/2007,Jul-07,carrier,3008057,180319,648560,16.68186381,15.91593574,0
8,1/08/2007,Aug-07,carrier,2866013,170851,653279,16.77492669,15.91593574,0
9,1/09/2007,Sep-07,carrier,1748246,102383,600187,17.07554965,15.91593574,0
10,1/10/2007,Oct-07,carrier,1908292,128977,629992,14.79559922,15.91593574,0
11,1/11/2007,Nov-07,carrier,1726179,113680,605149,15.18454433,15.91593574,0
12,1/12/2007,Dec-07,carrier,3212760,196759,616382,16.32840175,15.91593574,0
13,1/01/2008,Jan-08,carrier,2355954,148807,605765,15.8322794,15.76955518,-0.14638056
14,1/02/2008,Feb-08,carrier,2398296,156237,569236,15.35037155,15.76955518,-0.14638056
15,1/03/2008,Mar-08,carrier,2527895,157370,616090,16.06338565,15.76955518,-0.14638056
16,1/04/2008,Apr-08,carrier,1926766,122169,598126,15.77131678,15.76955518,-0.14638056
17,1/05/2008,May-08,carrier,1722631,120126,606293,14.34020112,15.76955518,-0.14638056
18,1/06/2008,Jun-08,carrier,2482267,164260,608665,15.11181663,15.76955518,-0.14638056
19,1/07/2008,Jul-08,carrier,2417097,140050,627931,17.25881471,15.76955518,-0.14638056
20,1/08/2008,Aug-08,carrier,2130584,120481,612279,17.68398337,15.76955518,-0.14638056
21,1/09/2008,Sep-08,carrier,1218688,71149,540908,17.12867363,15.76955518,-0.14638056
22,1/10/2008,Oct-08,carrier,1145054,73517,556205,15.57536352,15.76955518,-0.14638056
23,1/11/2008,Nov-08,carrier,1121975,81922,523272,13.69564952,15.76955518,-0.14638056
24,1/12/2008,Dec-08,carrier,2601010,168647,544956,15.42280622,15.76955518,-0.14638056
25,1/01/2009,Jan-09,carrier,1553366,108656,532339,14.29618245,15.28500367,-0.48455151
26,1/02/2009,Feb-09,carrier,1138257,78087,488410,14.57677975,15.28500367,-0.48455151
27,1/03/2009,Mar-09,carrier,1565861,107408,557422,14.57862543,15.28500367,-0.48455151
28,1/04/2009,Apr-09,carrier,1509781,102681,537793,14.70360631,15.28500367,-0.48455151
29,1/05/2009,May-09,carrier,1379106,100688,546832,13.69682584,15.28500367,-0.48455151
30,1/06/2009,Jun-09,carrier,1965403,122886,557594,15.99370962,15.28500367,-0.48455151
31,1/07/2009,Jul-09,carrier,2013731,121429,580134,16.58360853,15.28500367,-0.48455151
32,1/08/2009,Aug-09,carrier,1801093,108382,568301,16.61800853,15.28500367,-0.48455151
33,1/09/2009,Sep-09,carrier,1123914,66762,510852,16.83463647,15.28500367,-0.48455151
34,1/10/2009,Oct-09,carrier,1526817,114549,531799,13.3289422,15.28500367,-0.48455151
35,1/11/2009,Nov-09,carrier,937489,54740,509540,17.12621483,15.28500367,-0.48455151
36,1/12/2009,Dec-09,carrier,1991245,132020,529269,15.08290411,15.28500367,-0.48455151
37,1/01/2010,Jan-10,carrier,1578882,96928,521809,16.28922499,16.30098025,1.01597658
38,1/02/2010,Feb-10,carrier,1465833,95021,483270,15.426411,16.30098025,1.01597658
39,1/03/2010,Mar-10,carrier,1649112,100534,549262,16.40352518,16.30098025,1.01597658
40,1/04/2010,Apr-10,carrier,1232548,73184,529330,16.84176869,16.30098025,1.01597658
41,1/05/2010,May-10,carrier,1588921,100683,542747,15.78142288,16.30098025,1.01597658
42,1/06/2010,Jun-10,carrier,2023987,120007,551687,16.86557451,16.30098025,1.01597658
43,1/07/2010,Jul-10,carrier,2119493,122900,570788,17.24567128,16.30098025,1.01597658
44,1/08/2010,Aug-10,carrier,1673889,97597,569217,17.15102923,16.30098025,1.01597658
45,1/09/2010,Sep-10,carrier,1164541,72738,526107,16.01007726,16.30098025,1.01597658
46,1/10/2010,Oct-10,carrier,1306074,82391,545519,15.85214404,16.30098025,1.01597658
47,1/11/2010,Nov-10,carrier,1257261,83138,520999,15.12257933,16.30098025,1.01597658
48,1/12/2010,Dec-10,carrier,2156964,129763,539382,16.62233456,16.30098025,1.01597658
49,1/01/2011,Jan-11,carrier,1538345,97078,494400,15.84648427,16.73134789,0.43036764
50,1/02/2011,Feb-11,carrier,1463091,92709,455516,15.78154225,16.73134789,0.43036764
51,1/03/2011,Mar-11,carrier,1637022,101542,526687,16.12162455,16.73134789,0.43036764
52,1/04/2011,Apr-11,carrier,1731194,112528,507024,15.38456206,16.73134789,0.43036764
53,1/05/2011,May-11,carrier,1687179,107145,520612,15.74668907,16.73134789,0.43036764
54,1/06/2011,Jun-11,carrier,1998069,111137,528588,17.97843203,16.73134789,0.43036764
55,1/07/2011,Jul-11,carrier,1984345,110478,547219,17.96144934,16.73134789,0.43036764
56,1/08/2011,Aug-11,carrier,1755406,96632,541442,18.16588708,16.73134789,0.43036764
57,1/09/2011,Sep-11,carrier,1235940,73512,487468,16.81276526,16.73134789,0.43036764
58,1/10/2011,Oct-11,carrier,1169218,68219,504397,17.1391841,16.73134789,0.43036764
59,1/11/2011,Nov-11,carrier,1084221,66279,478040,16.35843932,16.73134789,0.43036764
60,1/12/2011,Dec-11,carrier,1269211,72613,493888,17.47911531,16.73134789,0.43036764
61,1/01/2012,Jan-12,carrier,1191729,70908,486133,16.80669318,17.92022643,1.18887854
62,1/02/2012,Feb-12,carrier,1055852,58987,464826,17.89974062,17.92022643,1.18887854
63,1/03/2012,Mar-12,carrier,1534771,86476,521628,17.74794163,17.92022643,1.18887854
64,1/04/2012,Apr-12,carrier,1188623,63639,505218,18.67758764,17.92022643,1.18887854
65,1/05/2012,May-12,carrier,1428053,80453,518423,17.75015226,17.92022643,1.18887854
66,1/06/2012,Jun-12,carrier,1794914,94684,526933,18.95688818,17.92022643,1.18887854
67,1/07/2012,Jul-12,carrier,2170627,121396,545131,17.88054796,17.92022643,1.18887854
68,1/08/2012,Aug-12,carrier,1916579,104434,540793,18.35205967,17.92022643,1.18887854
69,1/09/2012,Sep-12,carrier,1405706,77075,490199,18.23815764,17.92022643,1.18887854
70,1/10/2012,Oct-12,carrier,1470511,86545,515254,16.99128777,17.92022643,1.18887854
71,1/11/2012,Nov-12,carrier,1200259,63834,488006,18.80281668,17.92022643,1.18887854
72,1/12/2012,Dec-12,carrier,1807832,106727,494218,16.93884397,17.92022643,1.18887854
73,1/01/2013,Jan-13,carrier,1564374,88210,509519,17.73465593,16.64132468,-1.27890175
74,1/02/2013,Feb-13,carrier,1415721,83565,469746,16.94155448,16.64132468,-1.27890175
75,1/03/2013,Mar-13,carrier,1666872,101743,552312,16.3831615,16.64132468,-1.27890175
76,1/04/2013,Apr-13,carrier,1808722,111306,536393,16.24999551,16.64132468,-1.27890175
77,1/05/2013,May-13,carrier,1674148,105278,548642,15.90216379,16.64132468,-1.27890175
78,1/06/2013,Jun-13,carrier,2439539,143184,552141,17.03779054,16.64132468,-1.27890175
